shareholder,type,holding_date,pct_of_shares,shares_amount,change,turnover,symbol,company_name,industry,close_price_amount,close_price_currency,shares_value
Sim (Soon Ying),Individual Investor,12 Jun 2023,4.7501%,21686000.0,0,-,5NF,Mencast (5NF/MCHL.SI),"Energy - Fossil Fuels, Oil Related Services and Equipme",0.042,SGD ,910812.0
Valiant Leader Ltd.,Corporation,20 Mar 2023,35.1615%,1594776083.0,0,-,5NG,Healthway Med (5NG),"Healthcare Services, Healthcare Facilities & Services",0.033,SGD ,52627610.739
Gateway Partners Ltd.,Corporation,20 Mar 2023,27.3645%,1241134751.0,0,-,5NG,Healthway Med (5NG),"Healthcare Services, Healthcare Facilities & Services",0.033,SGD ,40957446.783
Rickon Holdings Ltd.,Corporation,20 Mar 2023,5.5972%,253865182.0,0,-,5NG,Healthway Med (5NG),"Healthcare Services, Healthcare Facilities & Services",0.033,SGD ,8377551.006
Abram Melkyzedeck Suhardiman,Individual Investor,20 Mar 2023,1.5195%,68918900.0,0,-,5NG,Healthway Med (5NG),"Healthcare Services, Healthcare Facilities & Services",0.033,SGD ,2274323.7
Ong (Eng Loke),Individual Investor,20 Mar 2023,0.5363%,24324100.0,0,MED,5NG,Healthway Med (5NG),"Healthcare Services, Healthcare Facilities & Services",0.033,SGD ,802695.3
Low (Weng Fatt),Individual Investor,28 Jun 2022,13.2555%,51546208.0,0,-,5NV,Chasen (5NV),"Transportation, Ground Freight & Logistics",0.051,SGD ,2628856.608
Yap (Beng Geok Dorothy),Individual Investor,22 Jul 2022,9.0633%,35244083.0,"35,244,083",-,5NV,Chasen (5NV),"Transportation, Ground Freight & Logistics",0.051,SGD ,1797448.2329999998
Yeo (Seck Cheong),Individual Investor,28 Jun 2022,4.2123%,16380165.0,"1,182,000",-,5NV,Chasen (5NV),"Transportation, Ground Freight & Logistics",0.051,SGD ,835388.4149999999
Lim (Chin Hock),Individual Investor,28 Jun 2022,3.7235%,14479565.0,0,-,5NV,Chasen (5NV),"Transportation, Ground Freight & Logistics",0.051,SGD ,738457.815
Siah (Boon Hock),Individual Investor,28 Jun 2022,2.7837%,10824901.0,0,-,5NV,Chasen (5NV),"Transportation, Ground Freight & Logistics",0.051,SGD ,552069.951
Estate Of Foo Chek Heng,Other Insider Investor,24 Mar 2022,37.2854%,73125500.0,"73,125,500",-,5OC,Koyo Intl (5OC),"Industrial & Commercial Services, Construction & Engineering",0.044,SGD ,3217522.0
Foo (Suay Lun),Individual Investor,24 Mar 2022,25.2135%,49449500.0,0,-,5OC,Koyo Intl (5OC),"Industrial & Commercial Services, Construction & Engineering",0.044,SGD ,2175778.0
Tai (Ho Fah),Individual Investor,24 Mar 2022,3.9473%,7741600.0,"3,400,000",-,5OC,Koyo Intl (5OC),"Industrial & Commercial Services, Construction & Engineering",0.044,SGD ,340630.39999999997
Tai (Chiew Sham),Individual Investor,24 Mar 2022,3.3407%,6551800.0,0,-,5OC,Koyo Intl (5OC),"Industrial & Commercial Services, Construction & Engineering",0.044,SGD ,288279.2
Loh (Ngiap Chew),Individual Investor,24 Mar 2022,1.2790%,2508400.0,"-2,094,200",-,5OC,Koyo Intl (5OC),"Industrial & Commercial Services, Construction & Engineering",0.044,SGD ,110369.59999999999
Takahashi (Kenichi),Individual Investor,22 Jun 2022,65.8206%,114814800.0,0,-,5OI,Japan Foods (5OI/JPFD.SI),"Cyclical Consumer Services, Restaurants & Bars",0.43,SGD ,49370364.0
Chan (Chau Mui),Individual Investor,22 Jun 2022,4.6435%,8100000.0,0,-,5OI,Japan Foods (5OI/JPFD.SI),"Cyclical Consumer Services, Restaurants & Bars",0.43,SGD ,3483000.0
Sirius Venture Capital Pte. Ltd.,Venture Capital,22 Jun 2022,4.1080%,7165800.0,0,-,5OI,Japan Foods (5OI/JPFD.SI),"Cyclical Consumer Services, Restaurants & Bars",0.43,SGD ,3081294.0
Shigemitsu Industry Company Limited,Corporation,22 Jun 2022,1.9266%,3360600.0,0,LOW,5OI,Japan Foods (5OI/JPFD.SI),"Cyclical Consumer Services, Restaurants & Bars",0.43,SGD ,1445058.0
Chin (May Yee Emily),Individual Investor,22 Jun 2022,1.3307%,2321200.0,"2,321,200",-,5OI,Japan Foods (5OI/JPFD.SI),"Cyclical Consumer Services, Restaurants & Bars",0.43,SGD ,998116.0
Lim (See Hoe),Individual Investor,20 Sep 2022,35.1657%,82788818.0,0,-,5OQ,Teho Intl (5OQ),"Industrial Goods, Industrial Machinery & Equipment",0.047,SGD ,3891074.446
Lim (Siew Cheng),Individual Investor,20 Sep 2022,12.7483%,30012555.0,0,-,5OQ,Teho Intl (5OQ),"Industrial Goods, Industrial Machinery & Equipment",0.047,SGD ,1410590.085
Lim (Siew Choo),Individual Investor,20 Sep 2022,10.1986%,24010047.0,0,-,5OQ,Teho Intl (5OQ),"Industrial Goods, Industrial Machinery & Equipment",0.047,SGD ,1128472.209
Ong (Chuey Geok),Individual Investor,20 Sep 2022,7.5055%,17669702.0,0,-,5OQ,Teho Intl (5OQ),"Industrial Goods, Industrial Machinery & Equipment",0.047,SGD ,830475.994
Lin (Yusheng),Individual Investor,20 Sep 2022,7.5055%,17669702.0,0,-,5OQ,Teho Intl (5OQ),"Industrial Goods, Industrial Machinery & Equipment",0.047,SGD ,830475.994
Megane Marine Pte Ltd,Corporation,24 Apr 2023,39.9547%,81818181.0,0,LOW,5OR,Heatec Jietong (5OR),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.028,SGD ,2290909.068
Tru-Marine Pte. Ltd.,Corporation,24 Apr 2023,15.6417%,32030678.0,0,LOW,5OR,Heatec Jietong (5OR),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.028,SGD ,896858.984
Yong (Yeow Sin),Individual Investor,24 Apr 2023,13.2898%,27214599.0,0,LOW,5OR,Heatec Jietong (5OR),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.028,SGD ,762008.772
Soon (Yeow Kwee Johnny),Individual Investor,24 Apr 2023,10.8770%,22273599.0,0,LOW,5OR,Heatec Jietong (5OR),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.028,SGD ,623660.772
Ow (Ah Foong Jasmine),Individual Investor,24 Apr 2023,2.3519%,4816078.0,0,-,5OR,Heatec Jietong (5OR),"Cyclical Consumer Products, Construction Supplies & Fixtures",0.028,SGD ,134850.184
Suki Sushi Pte. Ltd.,Corporation,21 Oct 2022,47.5797%,110466839.0,0,-,5OX,Mary Chia (5OX),"Personal & Household Products & Services, Personal Services",0.013,SGD ,1436068.907
Ho (Yow Ping),Individual Investor,21 Oct 2022,18.2767%,42433333.0,0,-,5OX,Mary Chia (5OX),"Personal & Household Products & Services, Personal Services",0.013,SGD ,551633.329
How (Pei Yen Grace),Individual Investor,21 Oct 2022,8.2225%,19090266.0,0,-,5OX,Mary Chia (5OX),"Personal & Household Products & Services, Personal Services",0.013,SGD ,248173.45799999998
Chia (Ah Tow Mary),Individual Investor,21 Oct 2022,6.0817%,14120000.0,0,-,5OX,Mary Chia (5OX),"Personal & Household Products & Services, Personal Services",0.013,SGD ,183560.0
Lee (Eng Tat),Individual Investor,21 Oct 2022,3.0839%,7159853.0,"3,488,186",-,5OX,Mary Chia (5OX),"Personal & Household Products & Services, Personal Services",0.013,SGD ,93078.08899999999
Citrine Capital Pte. Ltd.,Corporation,15 Dec 2022,34.4562%,135780294.0,0,-,5PC,Goodland (5PC),"Real Estate, Real Estate Development & Operations",0.13,SGD ,17651438.22
Koh (Chin Kim),Individual Investor,15 Dec 2022,11.6173%,45780000.0,0,-,5PC,Goodland (5PC),"Real Estate, Real Estate Development & Operations",0.13,SGD ,5951400.0
Tan (Chee Beng Ben),Individual Investor,15 Dec 2022,11.3190%,44604200.0,0,-,5PC,Goodland (5PC),"Real Estate, Real Estate Development & Operations",0.13,SGD ,5798546.0
Tan (Chee Tiong Alvin),Individual Investor,15 Dec 2022,10.0857%,39744500.0,0,-,5PC,Goodland (5PC),"Real Estate, Real Estate Development & Operations",0.13,SGD ,5166785.0
Tan (Bee Bee Melanie),Individual Investor,15 Dec 2022,5.5424%,21840700.0,0,-,5PC,Goodland (5PC),"Real Estate, Real Estate Development & Operations",0.13,SGD ,2839291.0
Gu (Wen Long),Individual Investor,28 Mar 2022,56.0793%,114100000.0,0,-,5PD,Hengyang Petro (5PD),"Energy - Fossil Fuels, Oil & Gas Transportation Servic",0.24,SGD ,27384000.0
Integrated Logistics (Hong Kong) Limited,Corporation,28 Mar 2022,25.8034%,52500000.0,0,-,5PD,Hengyang Petro (5PD),"Energy - Fossil Fuels, Oil & Gas Transportation Servic",0.24,SGD ,12600000.0
Luan (Ying),Individual Investor,28 Mar 2022,1.0732%,2183600.0,0,-,5PD,Hengyang Petro (5PD),"Energy - Fossil Fuels, Oil & Gas Transportation Servic",0.24,SGD ,524064.0
Xie (Yu),Individual Investor,21 Jan 2022,0.9584%,1950000.0,0,-,5PD,Hengyang Petro (5PD),"Energy - Fossil Fuels, Oil & Gas Transportation Servic",0.24,SGD ,468000.0
Wang (Weizhong),Individual Investor,28 Mar 2022,0.8601%,1750000.0,0,-,5PD,Hengyang Petro (5PD),"Energy - Fossil Fuels, Oil & Gas Transportation Servic",0.24,SGD ,420000.0
Foo (Chew Tuck),Individual Investor,17 Jun 2022,76.6981%,81300000.0,0,-,5PF,Jason Marine (5PF),"Technology Equipment, Communications & Networking",0.155,SGD ,12601500.0
Tan (Fuh Gih),Individual Investor,17 Jun 2022,3.7453%,3970000.0,0,LOW,5PF,Jason Marine (5PF),"Technology Equipment, Communications & Networking",0.155,SGD ,615350.0
Sirius Venture Capital Pte. Ltd.,Venture Capital,22 Aug 2022,2.5000%,2650000.0,0,-,5PF,Jason Marine (5PF),"Technology Equipment, Communications & Networking",0.155,SGD ,410750.0
Tan (Lian Huat),Individual Investor,17 Jun 2022,0.9623%,1020000.0,0,-,5PF,Jason Marine (5PF),"Technology Equipment, Communications & Networking",0.155,SGD ,158100.0
Chew (Keng Seng),Individual Investor,17 Jun 2022,0.9434%,1000000.0,0,-,5PF,Jason Marine (5PF),"Technology Equipment, Communications & Networking",0.155,SGD ,155000.0
Tembusu Asia Holdings Pte. Ltd.,Corporation,10 Jun 2022,61.6056%,189785313.0,0,-,5PO,Hiap Tong (5PO),"Banking & Investment Services, Corporate Financial Services",0.111,SGD ,21066169.743
Ong (Lim Wan),Individual Investor,10 Jun 2022,3.4460%,10615976.0,0,-,5PO,Hiap Tong (5PO),"Banking & Investment Services, Corporate Financial Services",0.111,SGD ,1178373.3360000001
Goh (Guan Siong),Individual Investor,10 Jun 2022,1.7663%,5441300.0,"2,135,500",LOW,5PO,Hiap Tong (5PO),"Banking & Investment Services, Corporate Financial Services",0.111,SGD ,603984.3
Ong (Boon Tat),Individual Investor,10 Jun 2022,0.9925%,3057682.0,0,-,5PO,Hiap Tong (5PO),"Banking & Investment Services, Corporate Financial Services",0.111,SGD ,339402.702
Kim Soon Lee (Lim) Heavy Transport Pte. Ltd.,Corporation,10 Jun 2022,0.9414%,2900000.0,0,-,5PO,Hiap Tong (5PO),"Banking & Investment Services, Corporate Financial Services",0.111,SGD ,321900.0
Triumphant Hope Sdn Bhd,Corporation,23 Jun 2022,73.0193%,76955933.0,0,-,5QR,MSM Intl (5QR/MSML.SI),"Industrial Goods, Industrial Machinery & Equipment",0.031,SGD ,2385633.923
Chan (Wen Chau),Individual Investor,23 Jun 2022,2.6427%,2785186.0,0,-,5QR,MSM Intl (5QR/MSML.SI),"Industrial Goods, Industrial Machinery & Equipment",0.031,SGD ,86340.766
Lim (Chye Huat),Individual Investor,23 Jun 2022,2.6378%,2780000.0,0,LOW,5QR,MSM Intl (5QR/MSML.SI),"Industrial Goods, Industrial Machinery & Equipment",0.031,SGD ,86180.0
Chan (Wen Yaw),Individual Investor,23 Jun 2022,1.0271%,1082435.0,0,-,5QR,MSM Intl (5QR/MSML.SI),"Industrial Goods, Industrial Machinery & Equipment",0.031,SGD ,33555.485
Chan (Wen Yee),Individual Investor,23 Jun 2022,0.8386%,883810.0,0,-,5QR,MSM Intl (5QR/MSML.SI),"Industrial Goods, Industrial Machinery & Equipment",0.031,SGD ,27398.11
Lee (Ben),Individual Investor,18 Mar 2022,22.8297%,120000000.0,0,-,5QY,Net Pacific Fin (5QY),"Banking & Investment Services, Corporate Financial Services",0.019,SGD ,2280000.0
Zhou (Wen Jie),Individual Investor,18 Mar 2022,22.7823%,119750600.0,0,-,5QY,Net Pacific Fin (5QY),"Banking & Investment Services, Corporate Financial Services",0.019,SGD ,2275261.4
Chin (Fook Lai),Individual Investor,18 Mar 2022,13.1314%,69022400.0,0,-,5QY,Net Pacific Fin (5QY),"Banking & Investment Services, Corporate Financial Services",0.019,SGD ,1311425.5999999999
Quad Sky Ltd.,Corporation,18 Mar 2022,10.2163%,53700000.0,0,-,5QY,Net Pacific Fin (5QY),"Banking & Investment Services, Corporate Financial Services",0.019,SGD ,1020300.0
Beh (Kim Ling),Individual Investor,18 Mar 2022,3.2390%,17025000.0,0,LOW,5QY,Net Pacific Fin (5QY),"Banking & Investment Services, Corporate Financial Services",0.019,SGD ,323475.0
Oei (Hong Leong),Individual Investor,19 Sep 2022,35.7540%,6374454821.0,0,LOW,5RA,AP Strategic (5RA),"Cyclical Consumer Services, Hotels, Motels & Cruise Lines",0.002,SGD ,12748909.642
Toh (Soon Huat),Individual Investor,19 Sep 2022,7.9748%,1421805700.0,"1,522,300",LOW,5RA,AP Strategic (5RA),"Cyclical Consumer Services, Hotels, Motels & Cruise Lines",0.002,SGD ,2843611.4
Choo (Yeow Ming),Individual Investor,19 Sep 2022,6.6043%,1177448832.0,0,-,5RA,AP Strategic (5RA),"Cyclical Consumer Services, Hotels, Motels & Cruise Lines",0.002,SGD ,2354897.664
Hung (Ying Zhen),Individual Investor,19 Sep 2022,5.3526%,954300000.0,0,-,5RA,AP Strategic (5RA),"Cyclical Consumer Services, Hotels, Motels & Cruise Lines",0.002,SGD ,1908600.0
Li (Yujiao),Individual Investor,19 Sep 2022,2.2082%,393683333.0,0,-,5RA,AP Strategic (5RA),"Cyclical Consumer Services, Hotels, Motels & Cruise Lines",0.002,SGD ,787366.666
Neo (Peck Keow),Individual Investor,21 Mar 2022,37.9178%,53540000.0,0,-,5RC,ES (5RC/ESGL.SI),"Industrial Goods, Shipbuilding",0.043,SGD ,2302220.0
Low (Chee Wee Ken),Individual Investor,21 Mar 2022,23.9235%,33780000.0,0,-,5RC,ES (5RC/ESGL.SI),"Industrial Goods, Shipbuilding",0.043,SGD ,1452540.0
Low (Triomphe Yvonne),Individual Investor,21 Mar 2022,5.3399%,7540000.0,0,-,5RC,ES (5RC/ESGL.SI),"Industrial Goods, Shipbuilding",0.043,SGD ,324220.0
Neo (Chiang Swee Eddy) a.k.a. Liang (Jiang Shui Eddy),Individual Investor,21 Mar 2022,4.2493%,6000000.0,0,-,5RC,ES (5RC/ESGL.SI),"Industrial Goods, Shipbuilding",0.043,SGD ,257999.99999999997
Leow (Mei Lee),Individual Investor,21 Mar 2022,2.5496%,3600000.0,0,-,5RC,ES (5RC/ESGL.SI),"Industrial Goods, Shipbuilding",0.043,SGD ,154800.0
Tan Gee Beng Pte Ltd,Corporation,18 Mar 2022,39.3711%,57539331.0,0,-,5RE,Asia Vets (5RE),"Healthcare Services, Healthcare Facilities & Services",0.058,SGD ,3337281.1980000003
Tan (Ah Chew),Individual Investor,18 Mar 2022,6.0522%,8845000.0,0,-,5RE,Asia Vets (5RE),"Healthcare Services, Healthcare Facilities & Services",0.058,SGD ,513010.0
Goldhill Partners Pte Ltd,Corporation,18 Mar 2022,4.3723%,6390000.0,"6,390,000",-,5RE,Asia Vets (5RE),"Healthcare Services, Healthcare Facilities & Services",0.058,SGD ,370620.0
Ng (Eng Seng Eric),Individual Investor,18 Mar 2022,3.0654%,4480001.0,0,-,5RE,Asia Vets (5RE),"Healthcare Services, Healthcare Facilities & Services",0.058,SGD ,259840.05800000002
Poh (Elynn Elaine),Individual Investor,18 Mar 2022,2.4693%,3608847.0,0,-,5RE,Asia Vets (5RE),"Healthcare Services, Healthcare Facilities & Services",0.058,SGD ,209313.12600000002
Chang (Wei Lu),Individual Investor,25 Oct 2022,23.0111%,320538834.0,0,-,5RF,Mercurius (5RF/MERC.SI),"Real Estate, Real Estate Development & Operations",0.016,SGD ,5128621.3440000005
Goh (Tai Siang),Individual Investor,31 Mar 2022,3.9484%,55000000.0,0,LOW,5RF,Mercurius (5RF/MERC.SI),"Real Estate, Real Estate Development & Operations",0.016,SGD ,880000.0
Chieng (Lik Ngiong),Individual Investor,31 Mar 2022,3.8048%,53000000.0,"-2,000,000",-,5RF,Mercurius (5RF/MERC.SI),"Real Estate, Real Estate Development & Operations",0.016,SGD ,848000.0
Raffles Holdings Ltd,Corporation,22 Dec 2022,3.3501%,46666666.0,0,LOW,5RF,Mercurius (5RF/MERC.SI),"Real Estate, Real Estate Development & Operations",0.016,SGD ,746666.656
Tay (Shu Chin),Individual Investor,31 Mar 2022,3.0720%,42792700.0,"42,792,700",-,5RF,Mercurius (5RF/MERC.SI),"Real Estate, Real Estate Development & Operations",0.016,SGD ,684683.2000000001
Atlan Holdings Bhd,Corporation,17 May 2023,73.6274%,905028113.0,0,HIGH,5SO,Duty Free Intl (5SO),"Retailers, Miscellaneous Specialty Retailers",0.157,SGD ,142089413.741
iFAST Financial Pte. Ltd.,Corporation,17 May 2023,0.5649%,6944350.0,500,LOW,5SO,Duty Free Intl (5SO),"Retailers, Miscellaneous Specialty Retailers",0.157,SGD ,1090262.95
Soh (Chong Chai),Individual Investor,17 May 2023,0.4311%,5299080.0,0,LOW,5SO,Duty Free Intl (5SO),"Retailers, Miscellaneous Specialty Retailers",0.157,SGD ,831955.56
Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,31 Dec 2022,0.4307%,5293897.0,"30,920",LOW,5SO,Duty Free Intl (5SO),"Retailers, Miscellaneous Specialty Retailers",0.157,SGD ,831141.829
Ellpha Investments Pte Ltd,Corporation,17 May 2023,0.3336%,4100000.0,0,LOW,5SO,Duty Free Intl (5SO),"Retailers, Miscellaneous Specialty Retailers",0.157,SGD ,643700.0
Lee (Swee Keng),Individual Investor,04 Jan 2023,23.3246%,45790700.0,"-2,500,000",LOW,5SR,Zhongmin Baihui (5SR),"Retailers, Department Stores",0.64,SGD ,29306048.0
Chen (Kaitong),Individual Investor,22 Dec 2022,21.0884%,41400680.0,"-6,000,000",-,5SR,Zhongmin Baihui (5SR),"Retailers, Department Stores",0.64,SGD ,26496435.2
Su (Caiye),Individual Investor,19 Dec 2022,10.5393%,20690700.0,"-3,350,000",-,5SR,Zhongmin Baihui (5SR),"Retailers, Department Stores",0.64,SGD ,13242048.0
Qingshui Energy Pte Ltd,Corporation,04 Jan 2023,7.8953%,15500000.0,"2,500,000",HIGH,5SR,Zhongmin Baihui (5SR),"Retailers, Department Stores",0.64,SGD ,9920000.0
Su (Jianli),Individual Investor,03 Nov 2022,3.1428%,6169932.0,0,-,5SR,Zhongmin Baihui (5SR),"Retailers, Department Stores",0.64,SGD ,3948756.48
Goldhill Trust Pte Ltd,Corporation,15 Dec 2022,73.9267%,62466590.0,0,-,5SY,OneApex (5SY),"Real Estate, Real Estate Services",0.25,SGD ,15616647.5
Ang (De Yu),Individual Investor,15 Dec 2022,5.6443%,4769284.0,0,-,5SY,OneApex (5SY),"Real Estate, Real Estate Services",0.25,SGD ,1192321.0
Oong (Bing Hui),Individual Investor,15 Dec 2022,2.4256%,2049600.0,0,-,5SY,OneApex (5SY),"Real Estate, Real Estate Services",0.25,SGD ,512400.0
Tan (Eng Tiong),Individual Investor,15 Dec 2022,2.3669%,2000000.0,0,-,5SY,OneApex (5SY),"Real Estate, Real Estate Services",0.25,SGD ,500000.0
Chew (Eng Keng),Individual Investor,15 Dec 2022,1.9344%,1634500.0,0,-,5SY,OneApex (5SY),"Real Estate, Real Estate Services",0.25,SGD ,408625.0
OOWAY Group Ltd,Corporation,28 Feb 2022,21.1932%,90000000.0,"90,000,000",-,5TI,Kitchen Culture (5TI),"Retailers, Home Furnishings Retailers",0.08,SGD ,7200000.0
Lim (Wee Li),Individual Investor,26 Jun 2023,15.5767%,66148657.0,0,-,5TI,Kitchen Culture (5TI),"Retailers, Home Furnishings Retailers",0.08,SGD ,5291892.5600000005
Chee (Tuck Hong),Individual Investor,28 Feb 2022,5.6183%,23859060.0,0,-,5TI,Kitchen Culture (5TI),"Retailers, Home Furnishings Retailers",0.08,SGD ,1908724.8
Lin (Songxian),Individual Investor,28 Feb 2022,1.5873%,6740700.0,"6,740,700",-,5TI,Kitchen Culture (5TI),"Retailers, Home Furnishings Retailers",0.08,SGD ,539256.0
iFAST Financial Pte. Ltd.,Corporation,28 Feb 2022,1.5377%,6530100.0,"1,958,900",LOW,5TI,Kitchen Culture (5TI),"Retailers, Home Furnishings Retailers",0.08,SGD ,522408.0
Universal Pte. Ltd.,Corporation,30 May 2022,57.2886%,63855000.0,0,-,5TJ,Far East (5TJ/FAEA.SI),"Industrial Goods, Electrical Components & Equipment",0.114,SGD ,7279470.0
Leng (Chee Keong David),Individual Investor,29 Mar 2022,6.6747%,7439800.0,0,-,5TJ,Far East (5TJ/FAEA.SI),"Industrial Goods, Electrical Components & Equipment",0.114,SGD ,848137.2000000001
Loh (Pui Lai Karen),Individual Investor,27 Mar 2023,5.8495%,6520000.0,"220,000",LOW,5TJ,Far East (5TJ/FAEA.SI),"Industrial Goods, Electrical Components & Equipment",0.114,SGD ,743280.0
Lim (Chye Huat),Individual Investor,29 Mar 2022,4.3734%,4874700.0,0,LOW,5TJ,Far East (5TJ/FAEA.SI),"Industrial Goods, Electrical Components & Equipment",0.114,SGD ,555715.8
Loh (Mun Yew),Individual Investor,30 May 2022,2.7300%,3042900.0,"619,000",-,5TJ,Far East (5TJ/FAEA.SI),"Industrial Goods, Electrical Components & Equipment",0.114,SGD ,346890.60000000003
Innovation (China) Limited,Corporation,30 Sep 2022,26.2422%,106987500.0,0,-,5TP,CNMC Goldmine (5TP/CNMC.SI),"Mineral Resources, Gold",0.199,SGD ,21290512.5
Messiah Limited,Corporation,17 Mar 2022,11.0776%,45162500.0,0,-,5TP,CNMC Goldmine (5TP/CNMC.SI),"Mineral Resources, Gold",0.199,SGD ,8987337.5
Chua (Teo Leng),Individual Investor,17 Mar 2022,2.6020%,10608100.0,"-100,000",-,5TP,CNMC Goldmine (5TP/CNMC.SI),"Mineral Resources, Gold",0.199,SGD ,2111011.9
Lim (Peng Liang David Llewellyn),Individual Investor,17 Mar 2022,2.2604%,9215300.0,"59,200",-,5TP,CNMC Goldmine (5TP/CNMC.SI),"Mineral Resources, Gold",0.199,SGD ,1833844.7000000002
Xu (Dehan),Individual Investor,17 Mar 2022,1.1300%,4606925.0,0,-,5TP,CNMC Goldmine (5TP/CNMC.SI),"Mineral Resources, Gold",0.199,SGD ,916778.0750000001
LJHB Holdings (S) Pte. Ltd.,Corporation,14 Dec 2022,67.5161%,163770418.0,"61,411,398",-,5TT,Keong Hong (5TT/KEHO.SI),"Industrial & Commercial Services, Construction & Engineering",0.315,SGD ,51587681.67
Leo (Ting Ping Ronald),Individual Investor,14 Dec 2022,11.4325%,27731180.0,0,-,5TT,Keong Hong (5TT/KEHO.SI),"Industrial & Commercial Services, Construction & Engineering",0.315,SGD ,8735321.7
iFAST Financial Pte. Ltd.,Corporation,14 Dec 2022,3.7790%,9166600.0,"3,945,200",LOW,5TT,Keong Hong (5TT/KEHO.SI),"Industrial & Commercial Services, Construction & Engineering",0.315,SGD ,2887479.0
Lim (Siak Meng),Individual Investor,14 Dec 2022,1.5813%,3835800.0,"-80,700",-,5TT,Keong Hong (5TT/KEHO.SI),"Industrial & Commercial Services, Construction & Engineering",0.315,SGD ,1208277.0
Lim (Ewe Ghee),Individual Investor,14 Dec 2022,0.8245%,2000000.0,"-1,748,500",-,5TT,Keong Hong (5TT/KEHO.SI),"Industrial & Commercial Services, Construction & Engineering",0.315,SGD ,630000.0
ASTI Holdings Ltd,Corporation,31 May 2022,25.9844%,5800791930.0,0,-,5TY,Advanced Systems (5TY),"Technology Equipment, Semiconductor Equipment & Testing",0.002,SGD ,11601583.86
Lee (Su Hui Lena),Individual Investor,24 May 2023,22.3973%,5000000000.0,"5,000,000,000",-,5TY,Advanced Systems (5TY),"Technology Equipment, Semiconductor Equipment & Testing",0.002,SGD ,10000000.0
Loh (Soon Gnee Michael),Individual Investor,31 May 2022,19.9087%,4444444444.0,0,-,5TY,Advanced Systems (5TY),"Technology Equipment, Semiconductor Equipment & Testing",0.002,SGD ,8888888.888
Seah (Chong Hoe),Individual Investor,24 May 2023,5.2260%,1166667000.0,"-5,333,333,000",MED,5TY,Advanced Systems (5TY),"Technology Equipment, Semiconductor Equipment & Testing",0.002,SGD ,2333334.0
Ong (Hean Kooi),Individual Investor,31 May 2022,0.6021%,134419867.0,"-1,700,200",-,5TY,Advanced Systems (5TY),"Technology Equipment, Semiconductor Equipment & Testing",0.002,SGD ,268839.734
Kwan (Chee Seng),Individual Investor,01 Feb 2023,27.7127%,46401339.0,0,LOW,5UA,Luminor (5UA),"Real Estate, Real Estate Development & Operations",0.078,SGD ,3619304.442
Meridian Salute Sdn Bhd,Corporation,07 Jun 2023,4.5182%,7565096.0,0,LOW,5UA,Luminor (5UA),"Real Estate, Real Estate Development & Operations",0.078,SGD ,590077.488
Cheng (Lim Kong),Individual Investor,23 Mar 2022,3.8444%,6436955.0,"5,312,966",-,5UA,Luminor (5UA),"Real Estate, Real Estate Development & Operations",0.078,SGD ,502082.49
Ang (Cheng Lam),Individual Investor,23 Mar 2022,3.1102%,5207641.0,"4,562,226",-,5UA,Luminor (5UA),"Real Estate, Real Estate Development & Operations",0.078,SGD ,406195.998
Hassan (Issa Yaunis),Individual Investor,23 Mar 2022,2.7832%,4660200.0,"3,708,200",-,5UA,Luminor (5UA),"Real Estate, Real Estate Development & Operations",0.078,SGD ,363495.6
Aspial Corporation Ltd,Corporation,05 Jan 2023,70.7305%,975308710.0,0,-,5UF,Aspial Lifestyle (5UF),"Retailers, Apparel & Accessories Retailers",0.143,SGD ,139469145.53
Koh (Wee Seng),Individual Investor,05 Jan 2023,7.8295%,107962109.0,"-5,000,000",-,5UF,Aspial Lifestyle (5UF),"Retailers, Apparel & Accessories Retailers",0.143,SGD ,15438581.587
Koh (Lee Hwee),Individual Investor,05 May 2023,2.5802%,35578146.0,0,LOW,5UF,Aspial Lifestyle (5UF),"Retailers, Apparel & Accessories Retailers",0.143,SGD ,5087674.878
Ko (Lee Meng),Individual Investor,29 Dec 2022,1.3809%,19040858.0,0,-,5UF,Aspial Lifestyle (5UF),"Retailers, Apparel & Accessories Retailers",0.143,SGD ,2722842.6939999997
Ng (Sheng Tiong),Individual Investor,15 Mar 2022,0.5353%,7381482.0,0,-,5UF,Aspial Lifestyle (5UF),"Retailers, Apparel & Accessories Retailers",0.143,SGD ,1055551.926
Saeed Investment Pte. Ltd.,Corporation,23 May 2022,50.2220%,262918394.0,0,-,5UL,Atlantic Nav (5UL),"Energy - Fossil Fuels, Oil Related Services and Equipme",0.31,SGD ,81504702.14
Wong (Siew Cheong),Individual Investor,21 Jan 2022,38.1986%,199974000.0,0,-,5UL,Atlantic Nav (5UL),"Energy - Fossil Fuels, Oil Related Services and Equipme",0.31,SGD ,61991940.0
Wong (Siew Chong),Individual Investor,23 May 2022,1.5281%,8000000.0,0,-,5UL,Atlantic Nav (5UL),"Energy - Fossil Fuels, Oil Related Services and Equipme",0.31,SGD ,2480000.0
Mohammadreza (Sadeghi),Individual Investor,23 May 2022,1.2894%,6750000.0,0,-,5UL,Atlantic Nav (5UL),"Energy - Fossil Fuels, Oil Related Services and Equipme",0.31,SGD ,2092500.0
